Name_submitted,Name_matched,Name_match_with_do_not_use,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,Checked_ruth
Carex membranacea,Carex membranacea,Carex membranacea,1,Synonym,Carex ericetorum,Pollich,Cyperaceae,tpl, ,Do not use,
Carex humilis,Carex humilis,Carex humilis,1,Accepted,Carex humilis,Leyss.,Cyperaceae,tpl;tropicos, ,,
Carex membranacea,Carex membranacea,Carex membranacea,1,Accepted,Carex membranacea,Hook.,Cyperaceae,tpl;tropicos;usda, ,,
Carlina vulgaris,Carlina vulgaris,Carlina vulgaris,1,Accepted,Carlina vulgaris,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:9B2C8135-A6C5-4B10-9290-86E255E64872,
Carnegiea gigantea,Carnegiea gigantea,Carnegiea gigantea,1,Accepted,Carnegiea gigantea,(Engelm.) Britton & Rose,Cactaceae,tpl;tropicos;usda, ,,
Carum carvi,Carum carvi,Carum carvi,1,Accepted,Carum carvi,L.,Apiaceae,tpl;tropicos;usda, ,,
Caryocar brasiliense,Caryocar brasiliense,Caryocar brasiliense,1,Accepted,Caryocar brasiliense,A.St.-Hil.,Caryocaraceae,tpl, ,,
Caryocar brasiliense,Caryocar brasiliense,Caryocar brasiliense,1,Accepted,Caryocar brasiliense,Cambess.,Caryocaraceae,tropicos;usda, ,,
Cassia nemophila,Cassia nemophila,Cassia nemophila,1,Accepted,Cassia nemophila,Vogel,Fabaceae,ildis, ,,
Cassine transvaalensis,Cassine transvaalensis,Cassine transvaalensis,1,Accepted,Cassine transvaalensis,(Burtt Davy) Codd,Celastraceae,tpl, ,,
Cassine transvaalensis,Cassine transvaalensis,Cassine transvaalensis,1,Accepted,Cassine transvaalensis,Codd,Celastraceae,tropicos, ,,
Castanea dentata,Castanea dentata,Castanea dentata,1,Accepted,Castanea dentata,(Marshall) Borkh.,Fagaceae,tpl;tropicos;usda, ,,
Castanopsis chinensis,Castanopsis chinensis,Castanopsis chinensis,1,Accepted,Castanopsis chinensis,(Spreng.) Hance,Fagaceae,tpl;tropicos, ,,
Castanopsis chinensis,Castanopsis chinensis,Do not use,1,Synonym,Castanopsis sclerophylla,(Lindl. & Paxton) Schottky,Fagaceae,tpl, ,,Do not use
Castanopsis chinensis,Castanopsis chinensis,Do not use,1,Synonym,Castanopsis sclerophylla,(Lindl.) Schottky,Fagaceae,tropicos, ,,Do not use
Catopsis sessiliflora,Catopsis sessiliflora,Catopsis sessiliflora,1,Accepted,Catopsis sessiliflora,(Ruiz & Pav.) Mez,Bromeliaceae,tpl;tropicos;usda, ,,
Cecropia obtusifolia,Cecropia obtusifolia,Cecropia obtusifolia,1,Accepted,Cecropia obtusifolia,Bertol.,Urticaceae,tpl;tropicos;usda, ,,
Cedrela odorata,Cedrela odorata,Cedrela odorata,1,Accepted,Cedrela odorata,L.,Meliaceae,tpl;tropicos;usda, ,,
Cedrela odorata,Cedrela odorata,Cedrela odorata,1,Synonym,Cedrela odorata,L.,Meliaceae,tpl, ,,
Centaurea horrida,Centaurea horrida,Do not use,1,Synonym,Centaurea calcitrapa,L.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:066F0253-7645-46C4-B5AB-94EAEB8CC757,Do not use
Centaurea corymbosa,Centaurea corymbosa,Centaurea corymbosa,1,Accepted,Centaurea corymbosa,Pourr.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:BE280020-E229-45F9-A484-970BB5323267,
Centaurea jacea,Centaurea jacea,Centaurea jacea,1,Accepted,Centaurea jacea,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:FD1FE9DD-4899-4EA3-BE89-5FE5BA72ED4C,
Centaurea solstitialis,Centaurea solstitialis,Centaurea solstitialis,1,Accepted,Centaurea solstitialis,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:F6861D43-3AFA-40DE-81FD-E88C2F819D2A,
Centaurea stoebe,Centaurea stoebe,Centaurea stoebe,1,Accepted,Centaurea stoebe,L.,Asteraceae,gcc;tropicos;usda, [Ambiguous match] ,urn:lsid:compositae.org:names:EAF48BA7-E45F-401B-BCD8-FB9415362383,
Centaurea stoebe,Centaurea stoebe,Centaurea stoebe,1,Accepted,Centaurea stoebe,Ledeb.,Asteraceae,gcc, [Ambiguous match] ,urn:lsid:compositae.org:names:D611C67D-3907-44FC-A394-37848B108DFD,
Centaurea stoebe,Centaurea stoebe,Centaurea stoebe,1,Accepted,Centaurea stoebe,Tausch,Asteraceae,gcc, [Ambiguous match] ,urn:lsid:compositae.org:names:3613C65E-9B11-456D-B69F-C81C592248F1,
Cephalanthera damasonium,Cephalanthera damasonium,Cephalanthera damasonium,1,Accepted,Cephalanthera damasonium,(Mill.) Druce,Orchidaceae,tpl;tropicos, ,,
Cephalanthera longifolia,Cephalanthera longifolia,Cephalanthera longifolia,1,Accepted,Cephalanthera longifolia,(L.) Fritsch,Orchidaceae,tpl;tropicos, ,,
Cerastium fontanum,Cerastium fontanum,Cerastium fontanum,1,Accepted,Cerastium fontanum,Baumg.,Caryophyllaceae,tpl;tropicos;usda, ,,
Cerastium pumilum,Cerastium pumilum,Do not use,1,Synonym,Cerastium glomeratum,Thuill.,Caryophyllaceae,tpl, [Ambiguous match] ,,Do not use
Cerastium pumilum,Cerastium pumilum,Do not use,1,Synonym,Cerastium gracile,Dufour,Caryophyllaceae,tpl, [Ambiguous match] ,,Do not use
Cerastium pumilum,Cerastium pumilum,Cerastium pumilum,1,Accepted,Cerastium pumilum,Curtis,Caryophyllaceae,tpl;tropicos, ,,
Cerastium pumilum,Cerastium pumilum,Cerastium pumilum,1,Accepted,Cerastium pumilum,W. Curtis,Caryophyllaceae,usda, ,,
Cerastium pumilum,Cerastium pumilum,Cerastium pumilum,1,Synonym,Cerastium pumilum var. glutinosum,(??elak.) E.Rico,Caryophyllaceae,tpl, [Ambiguous match] ,,Okay use matched name
Chaerophyllum aureum,Chaerophyllum aureum,Chaerophyllum aureum,1,Accepted,Chaerophyllum aureum,L.,Apiaceae,tpl;tropicos, ,,
Chamaecrista fasciculata,Chamaecrista fasciculata,Chamaecrista fasciculata,1,Accepted,Chamaecrista fasciculata,(Michx.)Greene,Fabaceae,ildis, ,,
Chamaecrista fasciculata,Chamaecrista fasciculata,Chamaecrista fasciculata,1,Accepted,Chamaecrista fasciculata,(Michx.) Greene,Fabaceae,tropicos;usda, ,,
Chamaedorea ernesti-augusti,Chamaedorea ernesti-augusti,Chamaedorea ernesti-augusti,1,Accepted,Chamaedorea ernesti-augusti,H.Wendl.,Arecaceae,tpl, ,,
Chamaedorea ernesti-augusti,Chamaedorea ernesti-augusti,Chamaedorea ernesti-augusti,1,Accepted,Chamaedorea ernesti-augusti,H. Wendl.,Arecaceae,tropicos, ,,
Epilobium latifolium,Epilobium latifolium,Epilobium latifolium,1,Synonym,Chamerion latifolium,(L.) Holub,Onagraceae,usda, ,,
Chenopodium album,Chenopodium album,Chenopodium album,1,Accepted,Chenopodium album,L.,Amaranthaceae,tpl;tropicos;usda, ,,
Chenopodium album,Chenopodium album,Chenopodium album,1,Synonym,Chenopodium boscianum,Moq.,Amaranthaceae,tpl, ,,
Chlorocardium rodiei,Chlorocardium rodiei,Chlorocardium rodiei,1,Accepted,Chlorocardium rodiei,"(Schomb.) Rohwer, H.G.Richt. & van der Werff",Lauraceae,tpl, ,,
Chlorocardium rodiei,Chlorocardium rodiei,Chlorocardium rodiei,1,Accepted,Chlorocardium rodiei,"(R.H. Schomb.) Rohwer, H.G. Richt. & van der Werff",Lauraceae,tropicos, ,,
Choerospodnias axillaris,Choerospondias axillaris,Choerospondias axillaris,0.99,Accepted,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Anacardiaceae,tpl, ,,Okay use matched name
Choerospodnias axillaris,Choerospondias axillaris,Choerospondias axillaris,0.99,Accepted,Choerospondias axillaris,(Roxb.) B.L. Burtt & A.W. Hill,Anacardiaceae,tropicos;usda, ,,
Cinnamomum camphora,Cinnamomum camphora,Cinnamomum camphora,1,Accepted,Cinnamomum camphora,(L.) J.Presl,Lauraceae,tpl, ,,
Cinnamomum camphora,Cinnamomum camphora,Cinnamomum camphora,1,Accepted,Cinnamomum camphora,(L.) J. Presl,Lauraceae,tropicos;usda, ,,
Cirsium acaule,Cirsium acaule,Cirsium acaule,1,Synonym,Cirsium acaulon,(L.) Scop.,Asteraceae,gcc, [Ambiguous match] ,urn:lsid:compositae.org:names:7174010F-2A97-49B5-8952-AE2ACBFE0CC3,Use matched name
Cirsium acaule,Cirsium acaule,Cirsium acaule,1,Synonym,Cirsium acaulon,(L.) Scop.,Asteraceae,gcc, [Ambiguous match] ,urn:lsid:compositae.org:names:7174010F-2A97-49B5-8952-AE2ACBFE0CC3,
Cirsium acaule,Cirsium acaule,Cirsium acaule,1,Synonym,Cirsium acaulon,(L.) Scop.,Asteraceae,gcc, [Ambiguous match] ,urn:lsid:compositae.org:names:7174010F-2A97-49B5-8952-AE2ACBFE0CC3,
Cirsium arvense,Cirsium arvense,Cirsium arvense,1,Accepted,Cirsium arvense,,Asteraceae,tpl, ,,
Cirsium arvense,Cirsium arvense,Cirsium arvense,1,Accepted,Cirsium arvense,(L.) Scop.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:7D643E5A-5D28-475F-AB44-A84067BA0168,
Cirsium canescens,Cirsium canescens,Cirsium canescens,1,Accepted,Cirsium canescens,Nutt.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:F095E148-A4D9-4C46-8903-ABB29791447A,
Cirsium dissectum,Cirsium dissectum,Cirsium dissectum,1,Accepted,Cirsium dissectum,(L.) Hill,Asteraceae,gcc, ,urn:lsid:compositae.org:names:B1DA5B41-F39E-44EB-AE8E-423A08E24D9D,
Cirsium palustre,Cirsium palustre,Cirsium palustre,1,Accepted,Cirsium palustre,(L.) Coss. ex Scop.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:A7F8CC7C-3E97-4C46-9A06-1A6805A8626F,
Cirsium palustre,Cirsium palustre,Cirsium palustre,1,Accepted,Cirsium palustre,(L.) Scop.,Asteraceae,tropicos;usda, ,,
Cirsium pannonicum,Cirsium pannonicum,Cirsium pannonicum,1,Accepted,Cirsium pannonicum,(L.f.) Link,Asteraceae,gcc, ,urn:lsid:compositae.org:names:1F192BED-0472-4DF5-8362-214047619747,
Cirsium scariosum,Cirsium scariosum,Cirsium scariosum,1,Accepted,Cirsium scariosum,(Poir.) Nutt.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:93978C61-820A-439E-A12E-9A8CFD397826,
Cirsium scariosum,Cirsium scariosum,Cirsium scariosum,1,Accepted,Cirsium scariosum,Nutt.,Asteraceae,tropicos;usda, ,,
Cirsium undulatum,Cirsium undulatum,Cirsium undulatum,1,Accepted,Cirsium undulatum,(Nutt.) Spreng.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:777CBBF8-047B-4A6F-9169-873EDD56E9CA,
Cirsium vulgare,Cirsium vulgare,Cirsium vulgare,1,Accepted,Cirsium vulgare,(Savi) Ten.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:5501F500-AAE6-4DE1-B349-46F2509573C1,
Cirsium vulgare,Cirsium vulgare,Cirsium vulgare,1,Synonym,Cirsium vulgare,(Savi) Ten.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:5501F500-AAE6-4DE1-B349-46F2509573C1,
Clarkia xantiana,Clarkia xantiana,Clarkia xantiana,1,Accepted,Clarkia xantiana,A.Gray,Onagraceae,tpl, ,,
Clarkia xantiana,Clarkia xantiana,Clarkia xantiana,1,Accepted,Clarkia xantiana,A. Gray,Onagraceae,tropicos;usda, ,,
Cleome droserifolia,Cleome droserifolia,Cleome droserifolia,1,Accepted,Cleome droserifolia,(Forssk.) Delile,Cleomaceae,tpl, ,,
Cleome droserifolia,Cleome droserifolia,Cleome droserifolia,1,Synonym,Cleome fimbriata,Vicary,Cleomaceae,tropicos, ,,
Cleome droserifolia,Cleome droserifolia,Cleome droserifolia,1,Synonym,Cleome ovalifolia,Deflers,Cleomaceae,tpl, ,,
Cleyera japonica,Cleyera japonica,Cleyera japonica,1,Accepted,Cleyera japonica,Thunb.,Pentaphylacaceae,tpl;usda, ,,
Cleyera japonica,Cleyera japonica,Cleyera japonica,1,Synonym,Cleyera japonica var. wallichiana,(DC.) Sealy,Pentaphylacaceae,tpl, ,,
Clidemia hirta,Clidemia hirta,Clidemia hirta,1,Accepted,Clidemia hirta,(L.) D. Don,Melastomataceae,tpl;tropicos;usda, ,,
Clintonia borealis,Clintonia borealis,Clintonia borealis,1,Accepted,Clintonia borealis,(Aiton) Raf.,Liliaceae,tpl;tropicos;usda, ,,
Cochlearia pyrenaica,Cochlearia pyrenaica,Cochlearia pyrenaica,1,Accepted,Cochlearia pyrenaica,DC.,Brassicaceae,tpl;tropicos, ,,
Colchicum autumnale,Colchicum autumnale,Colchicum autumnale,1,Accepted,Colchicum autumnale,L.,Colchicaceae,tpl;tropicos;usda, ,,
Collinsia verna,Collinsia verna,Collinsia verna,1,Accepted,Collinsia verna,Nutt.,Plantaginaceae,tpl;tropicos;usda, ,,
Colubrina spinosa,Colubrina spinosa,Colubrina spinosa,1,Accepted,Colubrina spinosa,Donn.Sm.,Rhamnaceae,tpl, ,,
Colubrina spinosa,Colubrina spinosa,Colubrina spinosa,1,Accepted,Colubrina spinosa,Donn. Sm.,Rhamnaceae,tropicos, ,,
Commelina benghalensis,Commelina benghalensis,Commelina benghalensis,1,Synonym,Commelina africana,L.,Commelinaceae,tpl, ,,
Commelina benghalensis,Commelina benghalensis,Commelina benghalensis,1,Accepted,Commelina benghalensis,L.,Commelinaceae,tpl;tropicos;usda, ,,
Erigeron canadensis,Erigeron canadensis,Erigeron canadensis,1,Synonym,Conyza canadensis,(L.) Cronquist,Asteraceae,tropicos, ,,okay to use
Erigeron canadensis,Erigeron canadensis,Erigeron canadensis,1,Synonym,Conyza canadensis var. canadensis,(L.) Cronquist,Asteraceae,usda, ,,okay to use
Corallorhiza trifida,Corallorhiza trifida,Corallorhiza trifida,1,Accepted,Corallorhiza trifida,Chütel.,Orchidaceae,tpl;tropicos, ,,
Corallorhiza trifida,Corallorhiza trifida,Corallorhiza trifida,1,Accepted,Corallorhiza trifida,Chatelain,Orchidaceae,usda, ,,
Dacrydium elatum,Dacrydium elatum,Dacrydium elatum,1,Synonym,Corneria elata,(Roxb.) A.E. Bobrov & Melikyan,Podocarpaceae,tropicos, ,,
Cornus florida,Cornus florida,Cornus florida,1,Accepted,Cornus florida,L.,Cornaceae,tpl;tropicos;usda, ,,
Cornus racemosa,Cornus racemosa,Cornus racemosa,1,Accepted,Cornus racemosa,Lam.,Cornaceae,tpl;tropicos;usda, ,,
Crossopteryx febrifuga,Crossopteryx febrifuga,Crossopteryx febrifuga,1,Accepted,Crossopteryx febrifuga,(Afzel. ex G.Don) Benth.,Rubiaceae,tpl, ,,
Crossopteryx febrifuga,Crossopteryx febrifuga,Crossopteryx febrifuga,1,Accepted,Crossopteryx febrifuga,(Afzel. ex G. Don) Benth.,Rubiaceae,tropicos, ,,
Cryptantha flava,Cryptantha flava,Cryptantha flava,1,Accepted,Cryptantha flava,(A.Nelson) Payson,Boraginaceae,tpl, ,,
Cryptantha flava,Cryptantha flava,Cryptantha flava,1,Accepted,Cryptantha flava,(A. Nelson) Payson,Boraginaceae,tropicos;usda, ,,
Cryptocarya chinensis,Cryptocarya chinensis,Cryptocarya chinensis,1,Accepted,Cryptocarya chinensis,(Hance) Hemsl.,Lauraceae,tpl;tropicos, ,,
Cucurbita pepo,Cucurbita pepo,Cucurbita pepo,1,Accepted,Cucurbita pepo,L.,Cucurbitaceae,tpl;tropicos;usda, ,,
Cupressus guadalupensis forbesii,Cupressus guadalupensis,Cupressus guadalupensis,0.6,Accepted,Cupressus guadalupensis,S.Watson,Cupressaceae,tpl, [Partial match] ,,Okay
Cupressus guadalupensis forbesii,Cupressus guadalupensis,Cupressus guadalupensis,0.6,Accepted,Cupressus guadalupensis,S. Watson,Cupressaceae,tropicos, [Partial match] ,,Okay
Curatella americana,Curatella americana,Curatella americana,1,Accepted,Curatella americana,L.,Dilleniaceae,tpl;tropicos, ,,
Cynoglossum officinale,Cynoglossum officinale,Cynoglossum officinale,1,Accepted,Cynoglossum officinale,L.,Boraginaceae,tpl;tropicos;usda, ,,
Cypripedium acaule,Cypripedium acaule,Cypripedium acaule,1,Accepted,Cypripedium acaule,Aiton,Orchidaceae,tpl;tropicos;usda, ,,
Cypripedium calceolus,Cypripedium calceolus,Cypripedium calceolus,1,Accepted,Cypripedium calceolus,L.,Orchidaceae,tpl;tropicos, ,,
Cypripedium fasciculatum,Cypripedium fasciculatum,Cypripedium fasciculatum,1,Accepted,Cypripedium fasciculatum,Kellogg,Orchidaceae,tpl, ,,
Cypripedium fasciculatum,Cypripedium fasciculatum,Cypripedium fasciculatum,1,Accepted,Cypripedium fasciculatum,Kellogg ex S. Watson,Orchidaceae,tropicos;usda, ,,
Cytisus scoparius,Cytisus scoparius,Cytisus scoparius,1,Accepted,Cytisus scoparius,(L.)Link,Fabaceae,ildis, ,,
Cytisus scoparius,Cytisus scoparius,Cytisus scoparius,1,Accepted,Cytisus scoparius,(L.) Link,Fabaceae,tropicos;usda, ,,
Dacrydium elatum,Dacrydium elatum,Dacrydium elatum,1,Accepted,Dacrydium elatum,(Roxb.) Wall. ex Hook.,Podocarpaceae,tpl, ,,
Dactylorhiza lapponica,Dactylorhiza lapponica,Dactylorhiza lapponica,1,Accepted,Dactylorhiza lapponica,(Laest. ex Hartm.) SoΩ,Orchidaceae,tpl, ,,
Dactylorhiza lapponica,Dactylorhiza lapponica,Dactylorhiza lapponica,1,Accepted,Dactylorhiza lapponica,(Laest. ex Rchb. f.) SoΩ,Orchidaceae,tropicos, ,,
Daucus carota,Daucus carota,Daucus carota,1,Accepted,Daucus carota,L.,Apiaceae,tpl;tropicos;usda, ,,
Desmoncus orthacanthos,Desmoncus orthacanthos,Desmoncus orthacanthos,1,Accepted,Desmoncus orthacanthos,Mart.,Arecaceae,tpl;tropicos, ,,
Dicentra canadensis,Dicentra canadensis,Dicentra canadensis,1,Accepted,Dicentra canadensis,(Goldie) Walp.,Papaveraceae,tpl;tropicos;usda, ,,
Dicorynia guianensis,Dicorynia guianensis,Dicorynia guianensis,1,Accepted,Dicorynia guianensis,Amshoff,Fabaceae,ildis;tropicos, ,,
Dicymbe altsonii,Dicymbe altsonii,Dicymbe altsonii,1,Accepted,Dicymbe altsonii,Sandwith,Fabaceae,ildis;tropicos, ,,
Digitalis purpurea,Digitalis purpurea,Digitalis purpurea,1,Accepted,Digitalis purpurea,L.,Plantaginaceae,tpl;tropicos;usda, ,,
Digitaria eriantha,Digitaria eriantha,Digitaria eriantha,1,Accepted,Digitaria eriantha,Steud.,Poaceae,tpl;tropicos;usda, ,,
Dimerandra emarginata,Dimerandra emarginata,Dimerandra emarginata,1,Accepted,Dimerandra emarginata,(G.Mey.) Hoehne,Orchidaceae,tpl, ,,
Dimerandra emarginata,Dimerandra emarginata,Dimerandra emarginata,1,Accepted,Dimerandra emarginata,(G. Mey.) Hoehne,Orchidaceae,tropicos, ,,
Dipsacus fullonum,Dipsacus fullonum,Dipsacus fullonum,1,Accepted,Dipsacus fullonum,L.,Caprifoliaceae,tpl;tropicos;usda, ,,
Disporum sessile,Disporum sessile,Disporum sessile,1,Accepted,Disporum sessile,(Thunb.) D.Don ex Schult. & Schult.f.,Colchicaceae,tpl, ,,author_pers_comms_can_not_check_species_name
Disporum sessile,Disporum sessile,Disporum sessile,1,Accepted,Disporum sessile,(Thunb.) D. Don ex Schult. & Schult. f.,Colchicaceae,tropicos, [Ambiguous match] ,,author_pers_comms_can_not_check_species_name
Disporum sessile,Disporum sessile,Disporum sessile,1,Accepted,Disporum sessile,D. Don,Colchicaceae,tropicos, [Ambiguous match] ,,author_pers_comms_can_not_check_species_name
Distylium racemosum,Distylium racemosum,Distylium racemosum,1,Accepted,Distylium racemosum,Siebold & Zucc.,Hamamelidaceae,tpl;tropicos, ,,
Cirsium canescens,Cirsium canescens,Do not use,1,Synonym,Do not use,A.Gray,Asteraceae,gcc, ,urn:lsid:compositae.org:names:91DF670C-F91A-433A-935C-3B8FD62ADF5C,Do not use
Commelina bracteosa,Commelina bracteosa,Do not use,1,Synonym,Do not use,L.,Commelinaceae,tropicos, ,,Do not use
Dodonaea viscosa angustifolia,Dodonaea viscosa,Dodonaea viscosa,0.96,Synonym,Dodonaea viscosa,Jacq.,Sapindaceae,tropicos, ,,"record from phd thesis, can not check original, safest to match at species level"
Dorycnium spectabile,Dorycnium spectabile,Dorycnium spectabile,1,Accepted,Dorycnium spectabile,(Choisy ex Ser.) Webb,Fabaceae,tpl;tropicos, ,,
Draba asterophora,Draba asterophora,Draba asterophora,1,Accepted,Draba asterophora,Payson,Brassicaceae,tpl;tropicos;usda, ,,
Dracocephalum austriacum,Dracocephalum austriacum,Dracocephalum austriacum,1,Accepted,Dracocephalum austriacum,L.,Lamiaceae,tpl, ,,
Drosera anglicana,Drosera anglica,Drosera anglica,0.95,Accepted,Drosera anglica,Huds.,Droseraceae,tpl;tropicos;usda, ,,typo this is Drosera anglica
Drosera rotundifolia,Drosera rotundifolia,Drosera rotundifolia,1,Accepted,Drosera rotundifolia,L.,Droseraceae,tpl;tropicos;usda, ,,
Dryas octopetala,Dryas octopetala,Dryas octopetala,1,Accepted,Dryas octopetala,L.,Rosaceae,tpl;tropicos;usda, ,,
Duguetia neglecta,Duguetia neglecta,Duguetia neglecta,1,Accepted,Duguetia neglecta,Sandwith,Annonaceae,tpl;tropicos, ,,
Echinacea angustifolia,Echinacea angustifolia,Echinacea angustifolia,1,Accepted,Echinacea angustifolia,DC.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:55BDBB1F-FDDC-4F12-9861-F4243E33C3E3,
Echinocactus platyacanthus,Echinocactus platyacanthus,Echinocactus platyacanthus,1,Accepted,Echinocactus platyacanthus,Link & Otto,Cactaceae,tpl;tropicos, ,,
Echium vulgare,Echium vulgare,Echium vulgare,1,Accepted,Echium vulgare,L.,Boraginaceae,tpl;tropicos;usda, ,,
Elymus repens,Elymus repens,Elymus repens,1,Accepted,Elymus repens,(L.) Gould,Poaceae,tpl;tropicos;usda, ,,
Entandrophragma cylindricum,Entandrophragma cylindricum,Entandrophragma cylindricum,1,Accepted,Entandrophragma cylindricum,(Sprague) Sprague,Meliaceae,tpl;tropicos, ,,
Eperua falcata,Eperua falcata,Eperua falcata,1,Accepted,Eperua falcata,Aubl.,Fabaceae,ildis;tropicos, ,,
Epilobium latifolium,Epilobium latifolium,Do not use,1,Synonym,Epilobium angustifolium,L.,Onagraceae,tpl, [Ambiguous match] ,,Do not use this synonym
Epilobium latifolium,Epilobium latifolium,Do not use,1,Synonym,Epilobium angustifolium,L.,Onagraceae,tpl, [Ambiguous match] ,,Do not use this synonym
Epilobium latifolium,Epilobium latifolium,Epilobium latifolium,1,Accepted,Epilobium latifolium,L.,Onagraceae,tpl;tropicos, ,,
Epipactis atrorubens,Epipactis atrorubens,Epipactis atrorubens,1,Accepted,Epipactis atrorubens,(Hoffm.) Besser,Orchidaceae,tpl, ,,
Epipactis atrorubens,Epipactis atrorubens,Epipactis atrorubens,1,Accepted,Epipactis atrorubens,(Hoffm. ex Bernh.) Besser,Orchidaceae,tropicos, ,,
Epipactis atrorubens,Epipactis atrorubens,Epipactis atrorubens,1,Accepted,Epipactis atrorubens,(O. Hoffm.) Besser,Orchidaceae,usda, ,,
Epipactis atrorubens,Epipactis atrorubens,Do not use,1,Synonym,Epipactis microphylla,(Ehrh.) Sw.,Orchidaceae,tpl, ,,Do not use
Erica ciliaris,Erica ciliaris,Erica ciliaris,1,Accepted,Erica ciliaris,L.,Ericaceae,tpl, ,,
Erigeron canadensis,Erigeron canadensis,Erigeron canadensis,1,Accepted,Erigeron canadensis,L.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:B89403EB-9178-4ABC-843E-BC0F9A00CD0C,
Eriophorum vaginatum,Eriophorum vaginatum,Eriophorum vaginatum,1,Accepted,Eriophorum vaginatum,L.,Cyperaceae,tpl;tropicos;usda, ,,
Erodium cicutarium,Erodium cicutarium,Erodium cicutarium,1,Accepted,Erodium cicutarium,(L.) L'HÄ˜r.,Geraniaceae,tpl, ,,
Erodium texanum,Erodium texanum,Erodium texanum,1,Accepted,Erodium texanum,A.Gray,Geraniaceae,tpl, ,,
Erodium texanum,Erodium texanum,Erodium texanum,1,Accepted,Erodium texanum,A. Gray,Geraniaceae,tropicos;usda, ,,
Eryngium alpinum,Eryngium alpinum,Eryngium alpinum,1,Accepted,Eryngium alpinum,L.,Apiaceae,tpl, [Ambiguous match] ,,Okay to use
Eryngium alpinum,Eryngium alpinum,Do not use,1,Synonym,Eryngium bourgatii,Gouan,Apiaceae,tpl, [Ambiguous match] ,,Do not use
Eryngium maritimum,Eryngium maritimum,Eryngium maritimum,1,Accepted,Eryngium maritimum,L.,Apiaceae,tpl;tropicos;usda, ,,
Mimulus guttatus,Mimulus guttatus,Mimulus guttatus,1,Synonym,Erythranthe guttata,(Fisch. ex DC.) G.L. Nesom,Phrymaceae,tropicos, ,,
Eupatorium perfoliatum,Eupatorium perfoliatum,Eupatorium perfoliatum,1,Accepted,Eupatorium perfoliatum,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:0651A369-2C83-4777-829E-D49816A52B82,
Euptelea pleiospermum,Euptelea pleiosperma,Euptelea pleiosperma,0.97,Accepted,Euptelea pleiosperma,Hook.f. & Thomson,Eupteleaceae,tpl, ,,Okay
Euptelea pleiospermum,Euptelea pleiosperma,Euptelea pleiosperma,0.97,Accepted,Euptelea pleiosperma,Hook. f. & Thomson,Eupteleaceae,tropicos, ,,Okay
Araucaria laubenfelsii,Araucaria laubenfelsii,Araucaria laubenfelsii,1,Synonym,Eutassa laubenfelsii,(Corbasson) de Laub.,Araucariaceae,tropicos, ,,
Euterpe edulis,Euterpe edulis,Euterpe edulis,1,Accepted,Euterpe edulis,Mart.,Arecaceae,tpl;tropicos, ,,
Euterpe oleracea,Euterpe oleracea,Euterpe oleracea,1,Accepted,Euterpe oleracea,Mart.,Arecaceae,tpl;tropicos;usda, ,,
Euterpe precatoria,Euterpe precatoria,Euterpe precatoria,1,Accepted,Euterpe precatoria,Mart.,Arecaceae,tpl;tropicos, ,,
Fabiana imbricata,Fabiana imbricata,Fabiana imbricata,1,Accepted,Fabiana imbricata,Ruiz & Pav.,Solanaceae,tpl;tropicos;usda, ,,
Fagus crenata,Fagus crenata,Fagus crenata,1,Accepted,Fagus crenata,Blume,Fagaceae,tpl, ,,
Fagus grandifolia,Fagus grandifolia,Fagus grandifolia,1,Accepted,Fagus grandifolia,Ehrh.,Fagaceae,tpl;tropicos;usda, ,,
Fagus sylvatica,Fagus sylvatica,Fagus sylvatica,1,Accepted,Fagus sylvatica,L.,Fagaceae,tpl;usda, ,,
Festuca eskia,Festuca eskia,Do not use,1,Synonym,Festuca ovina,L.,Poaceae,tpl, ,,Do not use
Festuca gracillima,Festuca gracillima,Do not use,1,Synonym,Festuca viridula,Vasey,Poaceae,tpl, ,,
Ficus microcarpa,Ficus microcarpa,Ficus microcarpa,1,Accepted,Ficus microcarpa,L.f.,Moraceae,tpl, ,,
Ficus microcarpa,Ficus microcarpa,Ficus microcarpa,1,Accepted,Ficus microcarpa,L. f.,Moraceae,tropicos;usda, ,,
